imageLink,address
https://chicagoarchitecturedata.com/static/images/assessor_images/16133070280000.jpg,2848-w-lexington-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14283150220000.jpg,603-w-arlington-place
https://chicagoarchitecturedata.com/static/images/assessor_images/17074200310000.jpg,134-n-ashland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/24241110010000.jpg,2900-w-115-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20021030390000.jpg,3931-s-ellis-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14191150350000.jpg,3815-n-seeley-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14294090230000.jpg,1148-w-wrightwood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20023070090000.jpg,4417-s-ellis-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17062250010000.jpg,1255-n-damen-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16012210180000.jpg,1313-n-artesian-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20142220490000.jpg,5756-s-harper-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25183080170000.jpg,10863-s-hoyne-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16022060010000.jpg,3355-w-pierce-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13021140120000.jpg,6156-n-kirkwood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25222210300000.jpg,11361-s-champlain-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17193150340000.jpg,2224-w-21st-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20023040440000.jpg,1132-e-44th-street
https://chicagoarchitecturedata.com/static/images/assessor_images/25184090030000.jpg,10911-s-prospect-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14333230190000.jpg,1710-n-fern-court
https://chicagoarchitecturedata.com/static/images/assessor_images/16012120430000.jpg,1410-n-maplewood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17074290060000.jpg,1705-w-washington-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/14081070350000.jpg,5400-n-clark-street
https://chicagoarchitecturedata.com/static/images/assessor_images/16091070010000.jpg,655-n-central-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25072090070000.jpg,9741-s-longwood-drive
https://chicagoarchitecturedata.com/static/images/assessor_images/17045000610000.jpg,800-n-franklin-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14331040700000.jpg,2256-n-cleveland-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25153090250000.jpg,10834-s-michigan-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14331020130000.jpg,613-w-fullerton-parkway
https://chicagoarchitecturedata.com/static/images/assessor_images/17173090140000.jpg,1343-w-flournoy-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20112030260000.jpg,4840-s-kimbark-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20033130300000.jpg,4528-s-michigan-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20101210360000.jpg,5023-s-indiana-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14171170060000.jpg,4521-n-malden-street
https://chicagoarchitecturedata.com/static/images/assessor_images/20163260030000.jpg,449-w-englewood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20112080090000.jpg,4947-s-kimbark-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14322090210000.jpg,2242-n-bissell-street
https://chicagoarchitecturedata.com/static/images/assessor_images/11312100180000.jpg,1836-w-lunt-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16104190140000.jpg,4229-w-west-end-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13363270290000.jpg,3018-w-north-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/20111100040000.jpg,4935-s-drexel-boulevard
https://chicagoarchitecturedata.com/static/images/assessor_images/14334100020000.jpg,2001-n-lincoln-park-west-7
https://chicagoarchitecturedata.com/static/images/assessor_images/14314300250000.jpg,1638-n-marshfield-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/19014270100000.jpg,4655-s-rockwell-street
https://chicagoarchitecturedata.com/static/images/assessor_images/14334130190000.jpg,226-w-willow-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13031140030000.jpg,6243-n-knox-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/14062080010000.jpg,1925-w-thome-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/13142000030000.jpg,3549-w-lawrence-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25183030360000.jpg,10755-s-seeley-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/16151260010000.jpg,4612-w-harrison-street
https://chicagoarchitecturedata.com/static/images/assessor_images/13031070270000.jpg,6201-n-kirkwood-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/17051150430000.jpg,1334-n-bosworth-avenue
https://chicagoarchitecturedata.com/static/images/assessor_images/25181010220000.jpg,10336-s-oakley-avenue
